School,Conference
seattle,Western Athletic Conference
texas-pan-american,Western Athletic Conference
cal-state-bakersfield,Western Athletic Conference
missouri-kansas-city,Western Athletic Conference
chicago-state,Western Athletic Conference
gonzaga,West Coast Conference
saint-marys-ca,West Coast Conference
brigham-young,West Coast Conference
san-diego,West Coast Conference
san-francisco,West Coast Conference
pacific,West Coast Conference
santa-clara,West Coast Conference
loyola-marymount,West Coast Conference
portland,West Coast Conference
pepperdine,West Coast Conference
